prompt,intent,theme,cycle_phase,Hindi Translation,Tamil Translation,Bengali Translation,Marathi Translation,Hinglish Translation
Can you identify a small step to handle you feel irritable for no reason?,mood_reframe,Hormonal stress,post-period,क्या आप बिना किसी कारण के चिड़चिड़ा महसूस करने के लिए एक छोटे कदम की पहचान कर सकते हैं?,எந்த காரணமும் இல்லாமல் நீங்கள் எரிச்சலூட்டுவதைக் கையாள ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,আপনি বিনা কারণে বিরক্ত বোধ করার জন্য আপনি একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,विनाकारण आपल्याला चिडचिडेपणा वाटण्यासाठी आपण एक लहान पाऊल ओळखू शकता?,Kya aap ek chhota kadam pehchan sakte hain jo aapko bina kisi karan ke chidchida mehsoos karne se nipatne me madad karega?
What might change if you were a little kinder to yourself about your mood changes suddenly?,mood_reframe,PMS mood swings,pre-period,यदि आप अपने मूड में अचानक बदलाव के बारे में अपने आप के लिए थोड़े दयालु थे तो क्या बदल सकता है?,உங்கள் மனநிலை மாற்றங்கள் திடீரென்று நீங்கள் கொஞ்சம் கனிவானவராக இருந்தால் என்ன மாறக்கூடும்?,হঠাৎ আপনার মেজাজের পরিবর্তনগুলি সম্পর্কে আপনি যদি নিজেকে একটু দয়ালু হন তবে কী পরিবর্তন হতে পারে?,आपल्या मनःस्थितीतील बदलांबद्दल आपण स्वत: चे थोडे दयाळू असाल तर काय बदलू शकते?,"Agar aap apne mood ke achanak badalne par khud se thoda aur dayalu ho jaate, to kya badal sakta hai?"
How does your body feel when you're thinking about you feel emotionally low?,mood_reframe,Anxiety and low mood during periods,post-period,जब आप सोच रहे हैं कि आप भावनात्मक रूप से कम महसूस करते हैं तो आपका शरीर कैसा महसूस करता है?,உங்களைப் பற்றி நீங்கள் நினைக்கும் போது உங்கள் உடல் எப்படி உணர்கிறது?,আপনি যখন আবেগগতভাবে কম বোধ করেন তখন আপনার শরীরটি কেমন অনুভব করে?,जेव्हा आपण आपल्याबद्दल भावनिकदृष्ट्या कमी वाटता तेव्हा आपल्या शरीराला कसे वाटते?,"Jab tum emotionally low mehsoos karte ho, toh tumhara sharir kaisa mehsoos hota hai?"
What would you say to a friend who is struggling with you feel emotionally low?,body_acceptance,Anxiety and low mood during periods,pre-period,आप एक दोस्त से क्या कहेंगे जो आपके साथ संघर्ष कर रहा है भावनात्मक रूप से कम महसूस कर रहा है?,உங்களுடன் போராடும் நண்பரிடம் உணர்ச்சிவசப்பட்டு குறைவாக இருப்பதற்கு நீங்கள் என்ன சொல்வீர்கள்?,আপনার সাথে লড়াই করে এমন কোনও বন্ধুকে আপনি কী বলবেন যে আবেগগতভাবে কম বোধ করছেন?,आपल्याशी संघर्ष करणार्‍या मित्राला भावनिकदृष्ट्या कमी वाटेल अशा मित्राला आपण काय म्हणाल?,"Agar aapka dost emotionally low feel kar raha hai, toh aap usse kya kahenge?"
"If this were a recurring pattern, how might you prepare for it emotionally?",mood_reframe,PMS mood swings,post-period,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wala pattern hota, toh aap iske liye emotionally kaise tayari karte?"
What are 2 small actions you could take to feel better about youâ€™re feeling anxious and tired?,stress_relief,Anxiety and low mood during periods,pre-period,आप चिंतित और थके हुए महसूस करने के बारे में बेहतर महसूस करने के लिए 2 छोटे कार्य कर सकते हैं?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் உணர்கிறீர்கள் என்பதைப் பற்றி நன்றாக உணர நீங்கள் எடுக்கக்கூடிய 2 சிறிய செயல்கள் யாவை?,আপনি উদ্বিগ্ন এবং ক্লান্ত বোধ সম্পর্কে আরও ভাল বোধ করতে আপনি 2 টি ছোট ক্রিয়া কী কী?,आपण चिंताग्रस्त आणि थकल्यासारखे वाटत असलेल्या 2 लहान क्रिया काय आहेत?,Tum kya do chhote kadam utha sakte ho jisse tumhe apne bechain aur thake hue mann ko behtar mehsoos karne mein madad mile?
How can you reframe the thought that your body feels out of sync?,body_acceptance,Hormonal stress,pre-period,आप इस विचार को कैसे रोक सकते हैं कि आपका शरीर सिंक से बाहर महसूस करता है?,உங்கள் உடல் ஒத்திசைவிலிருந்து உணர்கிறது என்ற எண்ணத்தை எவ்வாறு மறுபரிசீலனை செய்யலாம்?,আপনার শরীর সিঙ্কের বাইরে অনুভব করে এমন চিন্তাকে আপনি কীভাবে প্রত্যাখ্যান করতে পারেন?,आपल्या शरीराला समक्रमित झाल्यासारखे वाटत असलेल्या विचारांचे आपण कसे पुन्हा वर्णन करू शकता?,Tum kaise vichar ko punah aakar de sakte ho ki tumhara sharir sync se bahar mehsoos ho raha hai?
What would you say to a friend who is struggling with your body feels out of sync?,stress_relief,Hormonal stress,post-period,"आप एक दोस्त से क्या कहेंगे जो आपके शरीर से जूझ रहा है, वह सिंक से बाहर है?",உங்கள் உடலுடன் போராடும் நண்பரிடம் நீங்கள் என்ன சொல்வீர்கள்?,আপনার শরীরের সাথে লড়াই করে এমন কোনও বন্ধুকে আপনি কী বলবেন?,आपल्या शरीराशी झगडत असलेल्या मित्राला आपण काय म्हणाल?,Agar aapka dost apne sharir ke sath sync mein na hone ka samna kar raha hai toh aap unse kya kahenge?
How does your body feel when you're thinking about youâ€™re feeling anxious and tired?,mood_reframe,Anxiety and low mood during periods,menstruation,जब आप चिंतित और थके हुए महसूस कर रहे हैं तो आपका शरीर कैसा महसूस करता है?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் உணர்கிறீர்கள் என்று நினைக்கும் போது உங்கள் உடல் எப்படி உணர்கிறது?,আপনি যখন উদ্বিগ্ন এবং ক্লান্ত বোধ করছেন তখন আপনার শরীরটি কেমন অনুভব করে?,आपण चिंताग्रस्त आणि थकल्यासारखे वाटत असताना आपल्या शरीराला कसे वाटते?,"Jab aapko lagta hai ki aap anxious aur thake hue hain, tab aapke sharir ko kaisa mehsoos hota hai?"
Can you identify a small step to handle your body feels out of sync?,mood_reframe,Hormonal stress,post-period,क्या आप अपने शरीर को संभालने के लिए एक छोटे कदम की पहचान कर सकते हैं?,உங்கள் உடலைக் கையாள ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,আপনি কি আপনার শরীরকে সিঙ্কের বাইরে অনুভব করার জন্য একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,आपण आपल्या शरीरास समक्रमित झाल्यासारखे वाटत असलेल्या एक लहान पाऊल ओळखू शकता?,Kya aap ek chote kadam ko pehchan sakte hain jisse aapka sharir sync se bahar mehsoos ho raha ho sambhal sakta hai?
